#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6

03DS0001	Basic	03DSA-SolvingForRRs	What is the general rule for integrating a power of `n`, i.e., `n^A`? What is the special case?	For `A ≠ -1`: \( \int n^A \, dn = \frac{n^{A+1}}{A+1} + C \)<br><br>For the special case `A = -1`: \( \int n^{-1} \, dn = \int \frac{1}{n} \, dn = \log(n) + C \)
03DS0002	Basic	03DSA-SolvingForRRs	What is the quick integral trick for a term of the form `n^A * log(n)^B`, when it's *not* a special `n^{-1}` case? What is the result of \( \int n^2 \log(n) \)?	The trick: Multiply the integrand by `n` (which effectively integrates `n^A` to `n^{A+1}` while keeping the `log(n)` part).<br><br>Result: \( \int n^2 \log(n) \approx n^3 \log(n) \).<br>(Note: This is an approximation/rule-of-thumb for quick asymptotic analysis, not the exact antiderivative).
03DS0003	Basic	03DSA-SolvingForRRs	What is the quick integral trick for a term containing `n^{-1}`, like `(1/n) * log(n)^B`? What is \( \int (1/n) \log^5(n) \)?	The trick: Multiply the integrand by `log(n)`. This accounts for the integral of `1/n` being `log(n)`.<br><br>Result: \( \int \frac{1}{n} \log^5(n) \approx \log^6(n) \).
03DS0004	Basic	03DSA-SolvingForRRs	What is the quick integral trick for a term of the form `(n log(n))^{-1}`? What is \( \int \frac{1}{n \log(n)} \)?	The trick: Multiply the integrand by `log(log(n))`.<br><br>Result: \( \int \frac{1}{n \log(n)} \approx \log(\log(n)) \).
03DS0005	Basic	03DSA-SolvingForRRs	How do you quickly estimate an integral of a sum, e.g., \( \int (1/n + 1/n^2) \, dn \)?	Identify the *dominant term* (the one that decays slowest/grows fastest). For large `n`, `1/n` dominates `1/n^2`. Use the trick for the dominant term.<br><br>Estimate: \( \int (1/n + 1/n^2) \, dn \approx \int (1/n) \, dn \approx \log(n) \).
03DS0006	Basic	03DSA-SolvingForRRs	In a recurrence \( T(n) = A \cdot T(n/b) + f(n) \), what do the constants `A`, `b`, and the function `f(n)` represent in the recursion tree?	*   `A`: The *branching factor* (number of children per node).<br>*   `b`: The *size reduction factor* per level.<br>*   `f(n)`: The *cost of the node* at the root level (work done per node at that level).
03DS0007	Basic	03DSA-SolvingForRRs	In the recursion tree for \( T(n) = A \cdot T(n/b) + f(n) \), what is the sum of costs at level `i` and the tree height `h`?	*   **Level Cost:** Level `i` has \( A^i \) nodes, each with cost \( f(n / b^i) \). Total cost at level `i`: \( A^i \cdot f(n / b^i) \).<br>*   **Height:** The recursion stops when the subproblem size hits a constant (e.g., 1). So, \( n / b^h = O(1) \Rightarrow h = \Theta(\log_b n) \).
03DS0008	Basic	03DSA-SolvingForRRs	What is the standard form of a recurrence solvable by the Master Theorem? Define the critical exponent `p`.	Standard form: \( T(n) = A \cdot T(n/b) + f(n) \), where \( A \ge 1 \), \( b > 1 \), and \( f(n) \) is asymptotically positive.<br><br>Critical exponent: \( p = \log_b A \). It represents the *intrinsic growth rate* from the recursion alone.
03DS0009	Basic	03DSA-SolvingForRRs	What are the three cases of the Master Theorem, based on comparing \( f(n) \) and \( n^p \)?	Let \( p = \log_b A \).<br>1.  **Leaf-heavy:** If \( f(n) = O(n^{p - \epsilon}) \) for \( \epsilon > 0 \), then \( T(n) = \Theta(n^p) \).<br>2.  **Balanced:** If \( f(n) = \Theta(n^p \log^k n) \), then \( T(n) = \Theta(n^p \log^{k+1} n) \). (For \( k=0 \): \( T(n)=\Theta(n^p \log n) \)).<br>3.  **Root-heavy:** If \( f(n) = \Omega(n^{p + \epsilon}) \) *and* \( A f(n/b) \le c f(n) \) for some \( c<1 \), then \( T(n) = \Theta(f(n)) \).
03DS0010	Basic	03DSA-SolvingForRRs	When \( f(n) \) is not a simple polynomial (e.g., \( n/\log n \)), what is the general integral formula for \( T(n) = A T(n/b) + f(n) \)?	\( T(n) = \Theta\left( n^p \left( 1 + \int_1^n \frac{f(x)}{x^{p+1}} \, dx \right) \right) \), where \( p = \log_b A \).<br><br>*Note: The solution cannot be asymptotically smaller than \( n^p \), regardless of \( f(n) \).*
03DS0011	Basic	03DSA-SolvingForRRs	Solve \( T(n) = 2 T(n/2) + n / \log n \) using the integral form. (\( p=\log_2 2 = 1 \))	\( T(n) = \Theta\left( n \left( 1 + \int_1^n \frac{x / \log x}{x^{2}} \, dx \right) \right) = \Theta\left( n \left( 1 + \int_1^n \frac{1}{x \log x} \, dx \right) \right) \).<br><br>We know \( \int \frac{1}{x \log x} dx = \log(\log x) \). Thus, \( T(n) = \Theta(n \log(\log n)) \).
03DS0012	Basic	03DSA-SolvingForRRs	How do you solve \( T(n) = 4 T(\sqrt{n} / 4) + \log^2 n \)? What substitution is used?	Use the substitution \( n = 2^k \) (or \( n = b^k \) to simplify the recursive term).<br>1.  Let \( n = 2^k \). Then \( \sqrt{n} = 2^{k/2} \).<br>2.  Define \( F(k) = T(2^k) \).<br>3.  Recurrence becomes: \( F(k) = 4 F(k/2 - 2) + k^2 \). For asymptotic analysis, we simplify to \( F(k) = 4 F(k/2) + k^2 \).<br>4.  Solve \( F(k) \) using the Master Theorem (\( A=4, b=2, f(k)=k^2, p=2 \)). Since \( f(k)=k^2=O(k^{2}) \) (Case 2 with \( k=0 \)), \( F(k) = \Theta(k^2 \log k) \).<br>5.  Substitute back: \( k = \log n \Rightarrow T(n) = \Theta(\log^2 n \cdot \log(\log n)) \).
