#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6

14ML0001	Basic	14ML-LDA	What is the formula for sample variance when data is in vector form?	Given \(n\) samples of a single feature in vector \(\mathbf{x} = [x_1, x_2, ..., x_n]^T\) with mean \(\mu = \frac{1}{n}\sum_{i=1}^n x_i\):<br><br> \(\text{Var}(\mathbf{x}) = \frac{1}{n-1} (\mathbf{x} - \mu\mathbf{1})^T (\mathbf{x} - \mu\mathbf{1}) = \frac{1}{n-1} \sum_{i=1}^n (x_i - \mu)^2\)<br><br><strong>Dimensions:</strong> \(\mathbf{x}\) is \((n \times 1)\), \(\mathbf{1}\) is \((n \times 1)\), \((\mathbf{x} - \mu\mathbf{1})\) is \((n \times 1)\), so result is scalar \((1 \times 1)\).
14ML0002	Basic	14ML-LDA	What is the formula for sample covariance between two variables?	Given two vectors \(\mathbf{x} = [x_1, ..., x_n]^T\) and \(\mathbf{y} = [y_1, ..., y_n]^T\) with means \(\mu_x\) and \(\mu_y\):<br><br> \(\text{Cov}(\mathbf{x}, \mathbf{y}) = \frac{1}{n-1} (\mathbf{x} - \mu_x\mathbf{1})^T (\mathbf{y} - \mu_y\mathbf{1}) = \frac{1}{n-1} \sum_{i=1}^n (x_i - \mu_x)(y_i - \mu_y)\)<br><br><strong>Dimensions:</strong> Both centered vectors are \((n \times 1)\), their dot product gives scalar \((1 \times 1)\).
14ML0003	Basic	14ML-LDA	How do you compute the sample covariance matrix for \(m\) features?	Given data matrix \(\mathbf{X}\) of size \((n \times m)\) where columns are features, with column means \(\mathbf{\mu} = [\mu_1, \mu_2, ..., \mu_m]\):<br><br>1. Center the data: \(\mathbf{\bar{X}} = \mathbf{X} - \mathbf{1}_n \mathbf{\mu}^T\)<br>2. Compute covariance: \(\mathbf{S} = \frac{1}{n-1} \mathbf{\bar{X}}^T \mathbf{\bar{X}}\)<br><br><strong>Dimensions Critical:</strong><br>- \(\mathbf{X}\): \((n \times m)\) (n samples, m features)<br>- \(\mathbf{1}_n\): \((n \times 1)\) column vector of ones<br>- \(\mathbf{\mu}\): \((1 \times m)\) row vector of means<br>- \(\mathbf{\bar{X}}\): \((n \times m)\) centered data<br>- \(\mathbf{\bar{X}}^T\): \((m \times n)\) transpose<br>- \(\mathbf{S} = \mathbf{\bar{X}}^T \mathbf{\bar{X}}\): \((m \times m)\) covariance matrix<br><br><strong>Key Insight:</strong> \(\mathbf{\bar{X}}^T \mathbf{\bar{X}}\) gives feature-by-feature relationships, not sample-by-sample.
14ML0004	Basic	14ML-LDA	For a 5×3 data matrix (5 samples, 3 features), what are the dimensions at each step?	1. \(\mathbf{X}\): \((5 \times 3)\)<br>2. \(\mathbf{\mu}\) (row means): \((1 \times 3)\) or as column vector: \((3 \times 1)\)<br>3. \(\mathbf{1}_5\): \((5 \times 1)\) column of ones<br>4. \(\mathbf{1}_5 \mathbf{\mu}^T\): \((5 \times 1) \times (1 \times 3) = (5 \times 3)\)<br>5. \(\mathbf{\bar{X}} = \mathbf{X} - \mathbf{1}_5 \mathbf{\mu}^T\): \((5 \times 3) - (5 \times 3) = (5 \times 3)\)<br>6. \(\mathbf{\bar{X}}^T\): \((3 \times 5)\)<br>7. \(\mathbf{\bar{X}}^T \mathbf{\bar{X}}\): \((3 \times 5) \times (5 \times 3) = (3 \times 3)\) covariance matrix<br>8. \(\frac{1}{n-1}\mathbf{\bar{X}}^T \mathbf{\bar{X}}\): \((3 \times 3)\) sample covariance matrix<br><br><strong>Wrong Order Warning:</strong> \(\mathbf{\bar{X}} \mathbf{\bar{X}}^T\) gives \((5 \times 5)\) sample similarity matrix, NOT covariance!
14ML0005	Basic	14ML-LDA	What are the two primary use cases of Linear Discriminant Analysis (LDA)?	1. <strong>Supervised Dimensionality Reduction:</strong> Projects data onto a lower-dimensional space while preserving as much class-discriminatory information as possible. The new axes are linear combinations of original features.<br>2. <strong>Classification:</strong> Provides a simple, linear classifier by defining a decision boundary (hyperplane) based on the projected class means and shared covariance.
14ML0006	Basic	14ML-LDA	What is the core goal of Linear Discriminant Analysis (LDA)?	LDA is a supervised method. Its goal is to find a projection (a direction or set of axes) that <strong>maximizes the separation between the means of different classes</strong> while <strong>minimizing the variance (scatter) within each class</strong> in the projected space.<br><br> \(\text{Goal: Find } \mathbf{w} \text{ that maximizes class separation relative to class compactness.}\)
14ML0007	Basic	14ML-LDA	In LDA, given \(\mathbf{x} \in \mathbb{R}^d\) and \(\mathbf{w} \in \mathbb{R}^d\), what does the operation \(\mathbf{w}^T\mathbf{x}\) compute geometrically? What are the dimensions of the input and output?	Geometrically, \(\mathbf{w}^T\mathbf{x}\) computes the <strong>scalar projection</strong> of the data point \(\mathbf{x}\) onto the vector \(\mathbf{w}\). This operation:<br><br>1. Takes a high-dimensional point \(\mathbf{x}\) in the original feature space (dimension \(d\)).<br>2. Projects it onto the 1-dimensional line defined by the direction of \(\mathbf{w}\).<br>3. Outputs a <strong>single scalar value</strong> representing the coordinate of that projection along the line.<br><br>- <strong>Dimensions:</strong> \(\mathbf{x}\): \((d \times 1)\), \(\mathbf{w}\): \((d \times 1)\), \(\mathbf{w}^T\mathbf{x}\): \((1 \times 1)\) (a scalar)<br>- If \(\mathbf{w}\) is a unit vector (\(\|\mathbf{w}\| = 1\)), then \(\mathbf{w}^T\mathbf{x}\) equals the <strong>signed length/magnitude</strong> of the orthogonal projection.<br>- The sign indicates on which "side" of the origin (relative to \(\mathbf{w}\)'s direction) the projection lies.<br>- This projection reduces dimensionality from \(d\) to \(1\), which is the core of LDA's dimensionality reduction aspect.<br><br><strong>Visual:</strong> Imagine a 2D cloud of points. \(\mathbf{w}\) defines a line through the origin. Each point \(\mathbf{x}\) is "dropped" perpendicularly onto this line. \(\mathbf{w}^T\mathbf{x}\) is the coordinate of that landing point along the line.<br><br> \(\text{Projection: } \mathbf{w}^T\mathbf{x} = \|\mathbf{w}\|\|\mathbf{x}\|\cos\theta \quad\text{(where } \theta \text{ is the angle between } \mathbf{w} \text{ and } \mathbf{x})\)
14ML0008	Basic	14ML-LDA	In a 2D scatter plot of two classes, how would you visually identify a good projection vector \(\mathbf{w}\) for LDA?	A good \(\mathbf{w}\) vector, when the data is projected onto the line in its direction, will result in: 1) Two clusters of projected points (one per class) that are <strong>far apart from each other</strong> (large inter-class distance). 2) Each cluster being as <strong>tight or compact</strong> as possible (small intra-class spread).
14ML0009	Basic	14ML-LDA	What is the first, naive objective function for LDA, and what is its major flaw?	The naive rule aims to <strong>maximize the squared distance between projected class means</strong>.<br><br> \(\underset{\mathbf{w}}{\argmax} (\tilde{\mu}_1 - \tilde{\mu}_2)^2 \quad \text{, where } \quad \tilde{\mu}_c = \mathbf{w}^T\mathbf{\mu}_c\)<br><br><strong>Major Flaw:</strong> It doesn't consider within-class scatter. The solution could simply blow up the scale of \(\mathbf{w}\), and it's sensitive to classes with large internal variance.<br><br> \(\underset{\mathbf{w}}{\arg\max} (\mathbf{w}^T\mathbf{\mu}_1 - \mathbf{w}^T\mathbf{\mu}_2)^2 = \underset{\mathbf{w}}{\arg\max} [\mathbf{w}^T(\mathbf{\mu}_1-\mathbf{\mu}_2)(\mathbf{\mu}_1-\mathbf{\mu}_2)^T\mathbf{w}]\)
14ML0010	Basic	14ML-LDA	List one pro and one critical con of the LDA objective \(\arg\max (\tilde{\mu}_1 - \tilde{\mu}_2)^2\).	<strong>Pro:</strong> Simple and intuitive. Directly targets class separation.<br><strong>Critical Con:</strong> It is <strong>not scale-invariant</strong>. Multiplying \(\mathbf{w}\) by a scalar increases the objective without actually improving the separation relative to the data's natural spread. It ignores within-class variance, leading to poor projections if classes have high scatter.
14ML0011	Basic	14ML-LDA	What is Fisher's Linear Discriminant criterion (J(w)), and how does it fix the first rule's flaw?	Fisher's criterion introduces a normalization term using within-class scatter.<br><br> \(J(\mathbf{w}) = \frac{(\tilde{\mu}_1 - \tilde{\mu}_2)^2}{\tilde{s}_1^2 + \tilde{s}_2^2}\)<br><br>It fixes the scale problem by maximizing the ratio of <strong>between-class variance</strong> to <strong>within-class variance</strong>. The denominator \(\tilde{s}_c^2\) measures the scatter (variance) of projected points within class \(c\).<br><br>* if they ask to compare between features and choose the best one, we use this formula to compare (goal is maximization)
